INDEX,TEAM_IDA,TEAM_IDB,BATTLE_NUM,BATTLE_TIME
INT,INT,INT,INT,INT
1,101,101,100,60
2,101,102,100,60
3,101,103,100,60
4,101,104,100,0
5,101,105,100,0
6,102,101,100,0
7,102,102,100,0
8,102,103,100,0
9,102,104,100,0
10,102,105,100,0
11,103,101,100,0
12,103,102,100,0
13,103,103,100,0
14,103,104,100,0
15,103,105,100,0
16,104,101,100,0
17,104,102,100,0
18,104,103,100,0
19,104,104,100,0
20,104,105,100,0
21,105,101,100,0
22,105,102,100,0
23,105,103,100,0
24,105,104,100,0
25,105,105,100,0
26,106,106,100,0
27,106,107,100,0
28,106,108,100,0
29,106,109,100,0
30,106,110,100,0
31,107,106,100,0
32,107,107,100,0
33,107,108,100,0
34,107,109,100,0
35,107,110,100,0
36,108,106,100,0
37,108,107,100,0
38,108,108,100,0
39,108,109,100,0
40,108,110,100,0
41,109,106,100,0
42,109,107,100,0
43,109,108,100,0
44,109,109,100,0
45,109,110,100,0
46,110,106,100,0
47,110,107,100,0
48,110,108,100,0
49,110,109,100,0
50,110,110,100,0
51,201,201,100,0
52,201,206,100,0
53,201,211,100,0
54,201,216,100,0
55,201,221,100,0
56,206,206,100,0
57,206,211,100,0
58,206,216,100,0
59,206,221,100,0
60,211,211,100,0
61,211,216,100,0
62,211,221,100,0
63,216,216,100,0
64,216,221,100,0
65,221,221,100,0
66,202,204,100,0
67,202,209,100,0
68,202,214,100,0
69,202,219,100,0
70,202,224,100,0
71,207,204,100,0
72,207,209,100,0
73,207,214,100,0
74,207,219,100,0
75,207,224,100,0
76,212,204,100,0
77,212,209,100,0
78,212,214,100,0
79,212,219,100,0
80,212,224,100,0
81,217,204,100,0
82,217,209,100,0
83,217,214,100,0
84,217,219,100,0
85,217,224,100,0
86,222,204,100,0
87,222,209,100,0
88,222,214,100,0
89,222,219,100,0
90,222,224,100,0
91,201,204,100,0
92,201,209,100,0
93,201,214,100,0
94,201,219,100,0
95,201,224,100,0
96,206,204,100,0
97,206,209,100,0
98,206,214,100,0
99,206,219,100,0
100,206,224,100,0
101,211,204,100,0
102,211,209,100,0
103,211,214,100,0
104,211,219,100,0
105,211,224,100,0
106,216,204,100,0
107,216,209,100,0
108,216,214,100,0
109,216,219,100,0
110,216,224,100,0
111,221,204,100,0
112,221,209,100,0
113,221,214,100,0
114,221,219,100,0
115,221,224,100,0
116,201,202,100,0
117,201,207,100,0
118,201,212,100,0
119,201,217,100,0
120,201,222,100,0
121,206,202,100,0
122,206,207,100,0
123,206,212,100,0
124,206,217,100,0
125,206,222,100,0
126,211,202,100,0
127,211,207,100,0
128,211,212,100,0
129,211,217,100,0
130,211,222,100,0
131,216,202,100,0
132,216,207,100,0
133,216,212,100,0
134,216,217,100,0
135,216,222,100,0
136,221,202,100,0
137,221,207,100,0
138,221,212,100,0
139,221,217,100,0
140,221,222,100,0
141,201,203,100,0
142,201,208,100,0
143,201,213,100,0
144,201,218,100,0
145,201,223,100,0
146,206,203,100,0
147,206,208,100,0
148,206,213,100,0
149,206,218,100,0
150,206,223,100,0
151,211,203,100,0
152,211,208,100,0
153,211,213,100,0
154,211,218,100,0
155,211,223,100,0
156,216,203,100,0
157,216,208,100,0
158,216,213,100,0
159,216,218,100,0
160,216,223,100,0
161,221,203,100,0
162,221,208,100,0
163,221,213,100,0
164,221,218,100,0
165,221,223,100,0
166,203,203,100,0
167,203,208,100,0
168,203,213,100,0
169,203,218,100,0
170,203,223,100,0
171,208,208,100,0
172,208,213,100,0
173,208,218,100,0
174,208,223,100,0
175,213,213,100,0
176,213,218,100,0
177,213,223,100,0
178,218,218,100,0
179,218,223,100,0
180,223,223,100,0
181,203,204,100,0
182,203,209,100,0
183,203,214,100,0
184,203,219,100,0
185,203,224,100,0
186,208,204,100,0
187,208,209,100,0
188,208,214,100,0
189,208,219,100,0
190,208,224,100,0
191,213,204,100,0
192,213,209,100,0
193,213,214,100,0
194,213,219,100,0
195,213,224,100,0
196,218,204,100,0
197,218,209,100,0
198,218,214,100,0
199,218,219,100,0
200,218,224,100,0
201,223,204,100,0
202,223,209,100,0
203,223,214,100,0
204,223,219,100,0
205,223,224,100,0
206,203,202,100,0
207,203,207,100,0
208,203,212,100,0
209,203,217,100,0
210,203,222,100,0
211,208,202,100,0
212,208,207,100,0
213,208,212,100,0
214,208,217,100,0
215,208,222,100,0
216,213,202,100,0
217,213,207,100,0
218,213,212,100,0
219,213,217,100,0
220,213,222,100,0
221,218,202,100,0
222,218,207,100,0
223,218,212,100,0
224,218,217,100,0
225,218,222,100,0
226,223,202,100,0
227,223,207,100,0
228,223,212,100,0
229,223,217,100,0
230,223,222,100,0
231,204,401,100,0
232,204,402,100,0
233,204,403,100,0
234,204,404,100,0
235,204,405,100,0
236,209,401,100,0
237,209,402,100,0
238,209,403,100,0
239,209,404,100,0
240,209,405,100,0
241,214,401,100,0
242,214,402,100,0
243,214,403,100,0
244,214,404,100,0
245,214,405,100,0
246,219,401,100,0
247,219,402,100,0
248,219,403,100,0
249,219,404,100,0
250,219,405,100,0
251,224,401,100,0
252,224,402,100,0
