ID,PUSH_ID,PUSH_TITLE,PUSH_INFO,PUSH_TICKER,PUSH_ALERT_DATE
INT,INT,STRING,STRING,STRING,STRING
1,1001,竞技场排名奖励可领取,竞技场排名奖励可以领取啦,竞技场排名奖励可以领取啦,22:00:00
2,1002,体力领取,领仙桃时间到，问到仙桃的甜味了吗？,领仙桃时间到，问到仙桃的甜味了吗？,12:00:00
3,1003,体力领取,领仙桃时间到，问到仙桃的甜味了吗？,领仙桃时间到，问到仙桃的甜味了吗？,18:00:00
4,1004,竞技场被挑战,你在竞技场被挑战啦，快去看看吧！,你在竞技场被挑战啦，快去看看吧！,0
5,1005,0,0,0,0
6,1006,0,0,0,0
7,1007,0,0,0,0
8,1008,0,0,0,0
9,1009,0,0,0,0
10,1010,体力恢复满,你的体力恢复满了。,你的体力恢复满了,0
11,1011,精力恢复满,你的精力恢复满了。,你的精力恢复满了,0
12,1012,降魔令恢复满,你的降魔令恢复满了。,你的降魔令恢复满了,0
13,1013,灵将商铺刷新,灵将商铺刷新好了哦，请去大肆购买吧！,灵将商铺刷新好了哦，请去大肆购买吧！,0
14,1014,镇妖完成,镇妖完成，您的灵将给您带来了大量奖励哦！,镇妖完成，您的灵将给您带来了大量奖励哦！,0
15,1015,上次登录,亲，您已经好久没有登录啦，僵僵给您准备了好多奖励，快来领取吧！,亲，您已经好久没有登录啦，僵僵给您准备了好多奖励，快来领取吧！,0
