INDEX,NAME,CLASS,SCENE_ID,INFO,LV,MODEL,HEAD_ATLAS_NAME,HEAD_SPRITE_NAME,ELEMENT_INDEX,STAR_LEVEL,SCALE,POS_Y,ROTATION_Y,MOVE_SPEED,LOOKBOUND,AI_TIME,SKILL_COOLDOWN,ATTACK_SKILL,BASE_ATTACK,BASE_HP,MAGIC_DEFENCE,PHYSICAL_DEFENCE,HIT,DODGE,CRITICAL_STRIKE,CRITICAL_DEF,DAMAGE_REDUCE,DAMAGE_INCREASE,PET_SKILL_1,PET_SKILL_2,PET_SKILL_3,PET_SKILL_4,PET_CD_1,PET_CD_2,PET_CD_3,PET_CD_4,ATTACK_SKILL_1,ATTACK_SKILL_2,ATTACK_SKILL_3,ATTACK_SKILL_4,ATTACK_SKILL_5,EFFECT,UI_EFFECT,DEBUFF_IMMUNE
INT,STRING,STRING,INT,STRING,INT,INT,STRING,STRING,INT,INT,FLOAT,FLOAT,INT,INT,INT,FLOAT,FLOAT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT
80001,普通的武圣,BOSS,23004,6星,1,60014,AvatarAtlas,icon_guanyu_2_yang,3,1,1.7,0,0,4,10,0.5,2,108019,1903,1250000,0,0,30000,0,0,0,0,100,109007,109008,0,0,5,30,0,0,0,0,0,0,0,10101 10102 10001 10002 10003,0,0
80002,勇猛的武圣,BOSS,23004,6星,1,60014,AvatarAtlas,icon_guanyu_3_yang,3,1,1.7,0,0,4,10,0.5,2,108019,1903,1250000,0,0,30000,0,0,0,0,100,109007,109008,0,0,5,30,0,0,0,0,0,0,0,10101 10102 10001 10002 10003,0,0
80003,无双的石叽,BOSS,23005,6星,1,60015,AvatarAtlas,icon_stonemister_4_yin,4,1,1.5,0,0,4,10,0.5,1.2,108014,1903,1250000,0,0,30000,0,0,0,0,100,109010,109009,0,0,5,30,0,0,0,0,0,0,0,10103 10104 10105,0,0
82001,属性,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82002,属性,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82003,属性,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82004,属性,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82005,属性,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82006,属性,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82007,属性,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82008,属性,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82009,属性,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82010,属性,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82011,属性,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82012,属性,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82013,属性,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82014,属性,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82015,属性,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82016,属性,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82017,属性,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82018,属性,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82019,属性,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82020,属性,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82021,属性,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82022,属性,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82023,属性,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82024,属性,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82025,属性,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82026,属性,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82027,属性,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82028,属性,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82029,属性,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82030,属性,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82031,属性,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82032,属性,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82033,属性,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82034,属性,0,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82035,属性,0,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
