INDEX,TAB_ID,TAB_NAME,ITEM_ID,ITEM_NUM,ITEM_SHOW_LEVEL,COST_TYPE_1,COST_NUM_1,COST_TYPE_2,COST_NUM_2,BUY_NUM,REFRESH_BYDAY,OPEN_RANK,FIRST_SHOW,CURRENT_RANK
INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
701001,1,商品,40117,1,1,1000006,300,0,0,0,1,0,0,0
701002,1,商品,40099,1,1,1000006,300,0,0,0,1,0,0,0
701003,1,商品,2000002,1,1,1000006,10,0,0,100,1,0,0,0
701004,1,商品,2000002,20,1,1000006,200,0,0,10,1,0,0,0
701005,1,商品,2000002,100,1,1000006,1000,0,0,1,1,0,0,0
701006,1,商品,2000008,1,1,1000006,20,0,0,50,1,0,0,0
701007,1,商品,2000008,20,1,1000006,400,0,0,5,1,0,0,0
701008,1,商品,2000008,100,1,1000006,2000,0,0,2,1,0,0,0
701009,1,商品,2000008,10,1,1000006,100,0,0,5,1,0,15,500
701010,1,商品,2000008,10,1,1000006,160,0,0,5,1,0,18,800
702001,2,奖励,2000008,25,1,1000006,10,0,0,1,0,0,0,0
702002,2,奖励,1000002,200000,1,1000006,100,0,0,1,0,3500,0,0
702003,2,奖励,1000001,500,1,1000006,500,0,0,1,0,3000,0,0
702004,2,奖励,30305,5,1,1000006,400,0,0,1,0,2500,0,0
702005,2,奖励,1000002,300000,1,1000006,200,0,0,1,0,2000,0,0
702006,2,奖励,15203,5,1,1000006,1000,0,0,1,0,1500,0,0
702007,2,奖励,1000001,500,1,1000006,500,0,0,1,0,1000,0,0
702008,2,奖励,2000202,1,1,1000006,800,0,0,1,0,800,0,0
702009,2,奖励,1000002,400000,1,1000006,300,0,0,1,0,700,0,0
702010,2,奖励,2000002,1000,1,1000006,1000,0,0,1,0,600,0,0
702011,2,奖励,1000001,500,1,1000006,500,0,0,1,0,500,0,0
702012,2,奖励,2000201,10,1,1000006,650,0,0,1,0,400,0,0
702013,2,奖励,1000002,500000,1,1000006,500,0,0,1,0,300,0,0
702014,2,奖励,14004,1,1,1000006,1000,0,0,1,0,200,0,0
702015,2,奖励,1000001,1000,1,1000006,1000,0,0,1,0,100,0,0
702016,2,奖励,2000006,50,1,1000006,500,0,0,1,0,50,0,0
702017,2,奖励,2000003,200,1,1000006,1000,0,0,1,0,30,0,0
702018,2,奖励,15005,1,1,1000006,600,0,0,1,0,10,0,0
702019,2,奖励,15105,1,1,1000006,600,0,0,1,0,5,0,0
702020,2,奖励,14107,1,1,1000006,4000,0,0,1,0,3,0,0
702021,2,奖励,14007,1,1,1000006,4000,0,0,1,0,1,0,0
