INDEX,TAB_ID,TAB_NAME,ITEM_ID,ITEM_NUM,ITEM_SHOW_LEVEL,VIP_LEVEL_DISPLAY,COST_TYPE_1,COST_NUM_1,COST_TYPE_2,COST_NUM_2,BUY_NUM,REFRESH_BYDAY,OPEN_NUM
INT,INT,STRING,INT,INT,INT,INT,INT,STRING,INT,INT,STRING,INT,INT
601001,1,道具,1000002,10000,1,0,1000001,5|5|5|5|5|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|30|30|30|30|30|30|30|30|30|30|50,0,0,15|25|35|45|55|65|75|85|95|105|120|130|150,1,0
601002,1,道具,30305,1,1,0,1000001,20|20|40|40|60|60|80|80|120|120|160|160|160|160|160|200|200|200|200|200|300,0,0,5|7|9|11|13|15|18|21|24|27|30|33|35,1,0
601003,1,道具,2000013,1,1,0,1000001,10|10|10|20|20|20|30|30|30|30|40|40|40|40|40|50|50|50|50|50|100,0,0,5|8|11|14|17|20|23|26|29|32|35|38|40,1,0
601004,1,道具,2000014,1,1,0,1000001,10|10|10|20|20|20|30|30|30|30|40|40|40|40|40|50|50|50|50|50|100,0,0,5|8|11|14|17|20|23|26|29|32|35|38|40,1,0
601005,1,道具,2000204,1,1,0,1000001,30|40|50|60|80|100|120|150|150|150|180|180|180|210|210|210|240|240|240|270|270|270|300|300|300|500,0,0,5|8|11|14|17|20|23|26|29|32|35|38|40,1,0
601006,1,道具,2000205,1,1,0,1000001,30|40|50|60|80|100|120|150|150|150|180|180|180|210|210|210|240|240|240|270|270|270|300|300|300|500,0,0,5|7|9|11|13|15|17|19|21|23|25|27|30,1,0
601007,1,道具,2000015,1,35,0,1000001,5|5|5|5|5|10|10|10|10|10|20|20|20|20|20|20|20|20|20|20|30|30|30|30|30|30|30|30|30|30|50,0,0,10|10|10|20|20|30|30|40|40|50|50|50|50,1,0
601008,1,道具,2000016,1,1,0,1000001,30,0,0,0,1,0
601009,1,道具,2000017,1,1,0,1000001,10,0,0,0,1,0
601010,1,道具,15203,1,15,0,1000001,200,0,0,10,1,0
601011,1,道具,2000007,1,30,0,1000001,20,0,0,200,1,0
601012,1,道具,2000003,1,40,0,1000001,5,0,0,500,1,0
602001,2,礼包,2000101,1,1,0,1000001,138,0,0,1,0,0
602002,2,礼包,2000102,1,1,0,1000001,168,0,0,1,0,1
602003,2,礼包,2000103,1,1,0,1000001,198,0,0,1,0,2
602004,2,礼包,2000104,1,1,1,1000001,238,0,0,1,0,3
602005,2,礼包,2000105,1,1,2,1000001,308,0,0,1,0,4
602006,2,礼包,2000106,1,1,3,1000001,378,0,0,1,0,5
602007,2,礼包,2000107,1,1,4,1000001,448,0,0,1,0,6
602008,2,礼包,2000108,1,1,5,1000001,518,0,0,1,0,7
602009,2,礼包,2000109,1,1,6,1000001,588,0,0,1,0,8
602010,2,礼包,2000110,1,1,7,1000001,658,0,0,1,0,9
602011,2,礼包,2000111,1,1,8,1000001,728,0,0,1,0,10
602012,2,礼包,2000112,1,1,9,1000001,798,0,0,1,0,11
602013,2,礼包,2000113,1,1,10,1000001,868,0,0,1,0,12
