INDEX,BREAK_1,BREAK_2,BREAK_3,BREAK_4,BREAK_5,BREAK_6,BREAK_7,BREAK_8,BREAK_9,BREAK_10,BREAK_11,BREAK_12,BREAK_13,BREAK_14,BREAK_15
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
30001,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30002,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30003,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30004,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30005,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30006,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30007,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30008,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30009,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30010,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30011,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30012,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30013,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30014,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30015,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30016,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30017,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30018,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30019,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30020,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30021,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30022,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30023,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30024,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30025,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30026,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30027,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30028,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30029,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30030,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30031,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30032,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30033,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30034,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30035,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30036,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30037,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30038,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30039,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30040,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30041,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30042,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30043,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30044,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30045,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30046,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30047,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30048,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30049,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30050,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30051,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30052,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30053,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30054,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30055,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30056,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30057,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30058,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30059,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30060,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30061,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
30062,310101,310205,310302,310408,0,0,0,0,0,0,0,0,0,0,0
